LTE,510,10,6219,59437835,0,112.7775,-7.262,1428,25,1,1458832179,1751505723,0
LTE,510,10,6222,59513109,0,112.7319,-7.2491,1000,22,1,1458832179,1751505721,0
LTE,510,10,6222,59513110,0,112.7346,-7.2504,1000,4,1,1441154199,1751339762,0
LTE,510,10,6222,59513099,0,112.7347,-7.2466,1504,50,1,1458832179,1751505721,0
LTE,510,10,6212,59581983,0,112.6968,-7.2947,4815,50,1,1458832176,1751505781,0
LTE,510,10,6217,59435029,0,112.747,-7.2765,2656,50,1,1458832177,1751505783,0
LTE,510,10,6212,59458079,0,112.7127,-7.2903,3996,50,1,1458832176,1751505782,0
LTE,510,10,6222,59472661,0,112.7241,-7.2542,1000,10,1,1458832179,1751505722,0
LTE,510,10,6222,59472651,0,112.7305,-7.25,757,40,1,1458832179,1751505722,0
LTE,510,10,6217,59435019,0,112.7454,-7.2755,4411,17,1,1458832177,1751505783,0
LTE,510,10,6219,59399957,0,112.7676,-7.2571,1000,19,1,1458832178,1751505723,0
LTE,510,10,7249,79873291,0,116.8686,-1.2555,500,36,1,1458832182,1736737627,0
LTE,510,10,7248,79873547,0,116.8492,-1.269,5700,45,1,1458832182,1736737627,0
LTE,510,10,7248,79908885,0,116.8576,-1.2673,1000,23,1,1458832182,1736737627,0
LTE,510,10,7248,79919893,0,116.8537,-1.2712,1000,7,1,1458832182,1736737627,0
LTE,510,10,7248,79927829,0,116.855,-1.2716,1000,15,1,1458832182,1736737627,0
LTE,510,10,7249,79923477,0,116.8718,-1.2458,3994,49,1,1458832182,1736737622,0
LTE,510,10,7248,79908895,0,116.8584,-1.2654,1000,14,1,1458832182,1736737627,0
LTE,510,10,7248,79910155,0,116.8347,-1.2768,1000,19,1,1458832182,1736737626,0
LTE,510,11,41003,107551748,0,106.827,-6.1481,718,50,1,1458832194,1746722581,0
LTE,510,11,41003,107585028,0,106.8311,-6.1529,3058,13,1,1458832195,1746723902,0
LTE,510,11,41004,104975108,0,106.8327,-6.1779,1049,6,1,1458832195,1746744902,0
LTE,510,11,54014,138266372,0,112.7324,-7.2558,1000,11,1,1450604904,1751505722,0
LTE,510,11,54012,138241029,0,112.7409,-7.2684,4332,13,1,1458832227,1751505722,0
LTE,510,11,54013,138292998,0,112.7498,-7.2528,1000,3,1,1458832227,1751421544,0
LTE,510,11,54013,138264324,0,112.7806,-7.25,5431,12,1,1458832227,1751421544,0
LTE,510,11,54014,138297094,0,112.7315,-7.2552,2827,22,1,1458832228,1751362862,0
LTE,510,11,54014,138297092,0,112.7344,-7.2519,2273,19,1,1458832228,1751362863,0
LTE,510,11,51004,130564102,0,107.6029,-6.914,2181,51,1,1458832222,1712850661,0
LTE,510,11,51130,130629638,0,108.5424,-6.7421,1000,15,1,1458832226,1747657021,0
LTE,510,11,51004,130615814,0,107.601,-6.9093,500,50,1,1458832223,1750596361,0
LTE,510,11,54014,138241540,0,112.7405,-7.2605,1978,13,1,1458832228,1751505722,0
LTE,510,11,54013,138271750,0,112.7519,-7.2435,1000,8,1,1458832227,1751421544,0
GSM,510,10,4869,18392,0,109.3845,-6.8859,1016,4,1,1457113100,1725776226,0
GSM,510,10,4869,10781,0,109.3909,-6.8877,1499,8,1,1458836958,1725776226,0
GSM,510,10,4869,22831,0,109.3627,-6.8842,1176,16,1,1457113100,1725776225,0
GSM,510,10,4869,10782,0,109.379,-6.8848,1717,8,1,1458836958,1725776226,0
GSM,510,10,4869,50782,0,109.3824,-6.886,1000,8,1,1458836958,1725776226,0
GSM,510,10,4869,50781,0,109.387,-6.8872,1000,6,1,1458836958,1725776226,0
GSM,510,10,9004,64182,0,122.028,-4.7582,2407,18,1,1459476618,1747188965,0
GSM,510,10,9004,44181,0,122.0364,-4.7647,1418,14,1,1459476618,1747188965,0
GSM,510,10,416,52604,0,112.7505,-7.614,7464,9,1,1458912789,1737767042,0
GSM,510,10,441,42145,0,113.4919,-8.188,1985,20,1,1448025301,1737774242,0
GSM,510,10,445,49242,0,113.6599,-8.1901,2273,8,1,1447315072,1737776640,0
GSM,510,10,465,12153,0,111.3712,-7.3924,2076,5,1,1458912792,1737757022,0
GSM,510,10,485,56481,0,114.0289,-8.5939,1897,21,1,1451863856,1737790322,0
GSM,510,10,488,7462,0,114.1784,-8.4422,1584,5,1,1458912795,1737808562,0
GSM,510,10,488,31224,0,114.2179,-8.4329,1209,9,1,1448025289,1737811202,0
GSM,510,10,485,16481,0,114.03,-8.5978,2599,23,1,1451863856,1737804182,0
GSM,510,10,485,16482,0,114.0272,-8.5915,1214,12,1,1458912795,1737790081,0
GSM,510,10,498,47593,0,114.0734,-8.5651,1511,9,1,1448025301,1737788881,0
GSM,510,10,441,44302,0,113.5119,-8.1964,2945,4,1,1448025301,1737774421,0
GSM,510,10,488,47461,0,114.1841,-8.4392,1000,24,1,1458912795,1737809162,0
GSM,510,10,498,31524,0,114.1262,-8.4871,2117,16,1,1458912796,1737807361,0
